model,seed,f1,precision,recall,accuracy
DAPT-MiniLM,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.95
DAPT-MiniLM,42,0.9283154121863799,0.96875,0.9,0.95
DAPT-MiniLM,3012,0.9654874892148404,0.9838709677419355,0.95,0.975
DAPT-MiniLM,33,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.95
DAPT-MiniLM,131,0.9677158999192897,0.9545454545454546,0.9833333333333334,0.975
TAPT-MiniLM,0,0.8879551820728291,0.9545454545454546,0.85,0.925
TAPT-MiniLM,42,0.8879551820728291,0.9545454545454546,0.85,0.925
TAPT-MiniLM,3012,0.9283154121863799,0.96875,0.9,0.95
TAPT-MiniLM,33,0.8879551820728291,0.9545454545454546,0.85,0.925
TAPT-MiniLM,131,0.8879551820728291,0.9545454545454546,0.85,0.925
DAPT+TAPT-MiniLM,0,0.9283154121863799,0.96875,0.9,0.95
DAPT+TAPT-MiniLM,42,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.95
DAPT+TAPT-MiniLM,3012,1.0,1.0,1.0,1.0
DAPT+TAPT-MiniLM,33,0.9654874892148404,0.9838709677419355,0.95,0.975
DAPT+TAPT-MiniLM,131,0.9654874892148404,0.9838709677419355,0.95,0.975
MiniLM-base,0,0.9283154121863799,0.96875,0.9,0.95
MiniLM-base,42,0.42857142857142855,0.375,0.5,0.75
MiniLM-base,3012,0.8879551820728291,0.9545454545454546,0.85,0.925
MiniLM-base,33,0.9654874892148404,0.9838709677419355,0.95,0.975
MiniLM-base,131,0.7948717948717949,0.9285714285714286,0.75,0.875
SciBERT,0,0.9654874892148404,0.9838709677419355,0.95,0.975
SciBERT,42,0.8879551820728291,0.9545454545454546,0.85,0.925
SciBERT,3012,0.8964624676445211,0.9121863799283154,0.8833333333333333,0.925
SciBERT,33,0.7963636363636364,0.78,0.8500000000000001,0.825
SciBERT,131,0.8964624676445211,0.9121863799283154,0.8833333333333333,0.925
ClimateBERT,0,0.8566308243727598,0.890625,0.8333333333333333,0.9
ClimateBERT,42,0.9677158999192897,0.9545454545454546,0.9833333333333334,0.975
ClimateBERT,3012,0.9654874892148404,0.9838709677419355,0.95,0.975
ClimateBERT,33,0.9677158999192897,0.9545454545454546,0.9833333333333334,0.975
ClimateBERT,131,0.9654874892148404,0.9838709677419355,0.95,0.975
DistilBERT,0,0.8879551820728291,0.9545454545454546,0.85,0.925
DistilBERT,42,0.9654874892148404,0.9838709677419355,0.95,0.975
DistilBERT,3012,0.9283154121863799,0.96875,0.9,0.95
DistilBERT,33,0.8879551820728291,0.9545454545454546,0.85,0.925
DistilBERT,131,0.9283154121863799,0.96875,0.9,0.95
RoBERTa,0,0.9654874892148404,0.9838709677419355,0.95,0.975
RoBERTa,42,1.0,1.0,1.0,1.0
RoBERTa,3012,0.9677158999192897,0.9545454545454546,0.9833333333333334,0.975
RoBERTa,33,0.9654874892148404,0.9838709677419355,0.95,0.975
RoBERTa,131,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.95
