Model_A,Model_B,F1_A_%,F1_B_%,Diff_%,t_stat,p_value,Sig_p005,Sig_Bonferroni,Winner
DAPT-MiniLM,TAPT-MiniLM,57.35,55.75,1.6,0.9584,0.392119,No,No,DAPT-MiniLM
DAPT-MiniLM,DAPT+TAPT-MiniLM,57.35,56.08,1.27,0.9,0.419,No,No,DAPT-MiniLM
DAPT-MiniLM,MiniLM-base,57.35,53.93,3.43,1.3355,0.252655,No,No,DAPT-MiniLM
DAPT-MiniLM,SciBERT,57.35,60.82,-3.47,-3.604,0.022678,Yes,No,SciBERT
DAPT-MiniLM,ClimateBERT,57.35,60.04,-2.69,-1.8298,0.141263,No,No,ClimateBERT
DAPT-MiniLM,DistilBERT,57.35,63.88,-6.53,-3.8722,0.01796,Yes,No,DistilBERT
DAPT-MiniLM,RoBERTa,57.35,58.55,-1.2,-0.5008,0.642792,No,No,RoBERTa
TAPT-MiniLM,DAPT+TAPT-MiniLM,55.75,56.08,-0.33,-0.1203,0.910069,No,No,DAPT+TAPT-MiniLM
TAPT-MiniLM,MiniLM-base,55.75,53.93,1.82,0.6131,0.572954,No,No,TAPT-MiniLM
TAPT-MiniLM,SciBERT,55.75,60.82,-5.07,-2.933,0.042688,Yes,No,SciBERT
TAPT-MiniLM,ClimateBERT,55.75,60.04,-4.29,-3.26,0.03108,Yes,No,ClimateBERT
TAPT-MiniLM,DistilBERT,55.75,63.88,-8.14,-7.4902,0.001699,Yes,Yes,DistilBERT
TAPT-MiniLM,RoBERTa,55.75,58.55,-2.8,-1.91,0.12874,No,No,RoBERTa
DAPT+TAPT-MiniLM,MiniLM-base,56.08,53.93,2.15,0.6587,0.546101,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,SciBERT,56.08,60.82,-4.74,-2.4064,0.073843,No,No,SciBERT
DAPT+TAPT-MiniLM,ClimateBERT,56.08,60.04,-3.96,-1.829,0.141397,No,No,ClimateBERT
DAPT+TAPT-MiniLM,DistilBERT,56.08,63.88,-7.81,-2.6291,0.058243,No,No,DistilBERT
DAPT+TAPT-MiniLM,RoBERTa,56.08,58.55,-2.47,-0.7327,0.504367,No,No,RoBERTa
MiniLM-base,SciBERT,53.93,60.82,-6.89,-2.5827,0.061154,No,No,SciBERT
MiniLM-base,ClimateBERT,53.93,60.04,-6.12,-2.6732,0.055621,No,No,ClimateBERT
MiniLM-base,DistilBERT,53.93,63.88,-9.96,-3.5877,0.02301,Yes,No,DistilBERT
MiniLM-base,RoBERTa,53.93,58.55,-4.62,-2.0183,0.11372,No,No,RoBERTa
SciBERT,ClimateBERT,60.82,60.04,0.78,0.387,0.718479,No,No,SciBERT
SciBERT,DistilBERT,60.82,63.88,-3.07,-2.4588,0.069785,No,No,DistilBERT
SciBERT,RoBERTa,60.82,58.55,2.27,1.0688,0.345353,No,No,SciBERT
ClimateBERT,DistilBERT,60.04,63.88,-3.84,-1.9316,0.125581,No,No,DistilBERT
ClimateBERT,RoBERTa,60.04,58.55,1.49,0.8297,0.45336,No,No,ClimateBERT
DistilBERT,RoBERTa,63.88,58.55,5.33,3.6256,0.022247,Yes,No,DistilBERT
